CLF	DLS	ISIS	NAME	START_DATE	END_DATE	Description	sequence number			
n	n	y	cycle_98_1 	1998-03-25	1998-05-13	ISIS Cycle				
n	n	y	cycle_98_2 	1998-05-13	1998-09-30	ISIS Cycle				
n	n	y	cycle_98_3 	1998-09-30	1998-11-18	ISIS Cycle				
n	n	y	cycle_98_4 	1998-11-18	1999-01-06	ISIS Cycle				
n	n	y	cycle_98_5	1999-01-06	1999-06-30	ISIS Cycle				
n	n	y	cycle_99_1 	1999-06-30	1999-09-15	ISIS Cycle				
n	n	y	cycle_99_2 	1999-09-15	1999-11-17	ISIS Cycle				
n	n	y	cycle_99_3 	1999-11-17	2000-01-12	ISIS Cycle				
n	n	y	cycle_99_4 	2000-01-12	2000-03-09	ISIS Cycle				
n	n	y	cycle_99_5	2000-03-09	2000-06-26	ISIS Cycle				
n	n	y	cycle_00_1 	2000-06-26	2000-08-16	ISIS Cycle				
n	n	y	cycle_00_2 	2000-08-16	2000-11-01	ISIS Cycle				
n	n	y	cycle_00_3 	2000-11-01	2001-01-19	ISIS Cycle				
n	n	y	cycle_00_4	2001-01-19	2001-05-02	ISIS Cycle				
n	n	y	cycle_01_1 	2001-05-02	2001-06-27	ISIS Cycle				
n	n	y	cycle_01_2 	2001-06-27	2001-09-05	ISIS Cycle				
n	n	y	cycle_01_3 	2001-09-05	2001-10-31	ISIS Cycle				
n	n	y	cycle_01_4	2001-10-31	2002-07-29	ISIS Cycle				
n	n	y	cycle_02_1 	2002-07-29	2002-08-21	ISIS Cycle				
n	n	y	cycle_02_2 	2002-08-21	2002-10-16	ISIS Cycle				
n	n	y	cycle_02_3 	2002-10-16	2003-01-15	ISIS Cycle				
n	n	y	cycle_02_4	2003-01-15	2003-04-02	ISIS Cycle				
n	n	y	cycle_02_5 	2003-04-02	2003-04-24	ISIS Cycle				
n	n	y	cycle_02_6	2003-04-24	2003-06-25	ISIS Cycle				
n	n	y	cycle_03_1 	2003-06-25	2003-08-20	ISIS Cycle				
n	n	y	cycle_03_2 	2003-08-20	2003-11-05	ISIS Cycle				
n	n	y	cycle_03_3 	2003-11-05	2004-01-14	ISIS Cycle				
n	n	y	cycle_03_4	2004-01-14	2004-02-25	ISIS Cycle				
n	n	y	cycle_03_5 	2004-02-25	2004-10-27	ISIS Cycle				
n	n	y	cycle_04_1 	2004-10-27	2005-02-09	ISIS Cycle				
n	n	y	cycle_04_2 	2005-02-09	2005-04-13	ISIS Cycle				
n	n	y	cycle_04_3 	2005-04-13	2006-02-07	ISIS Cycle				
n	n	y	cycle_06_1 	2006-02-07	2006-04-04	ISIS Cycle				
n	n	y	cycle_06_2 	2006-04-04	2006-06-20	ISIS Cycle				
n	n	y	cycle_06_3 	2006-06-20	2006-09-05	ISIS Cycle				
n	n	y	cycle_06_4	2006-09-05	2006-11-14	ISIS Cycle				
n	n	y	cycle_06_5	2006-11-14		ISIS Cycle				
y	n	n	2007			CLF does not have cycle. Data grouped by year.				
y	n	n	2008			CLF does not have cycle. Data grouped by year.				
y	n	n	2009			CLF does not have cycle. Data grouped by year.				
n	n	y	cycle_07_1	 2006-09-01		ISIS Cycle				
										
										
										
										
										
										
		
