Start Date	RB No.	Runs from	Runs to	Company	Company Contacts	Other Contacts	Instrument Contacts	
								
22/09/1987		642	643	ICI	"Andrew Burgess, Halina Stanley"		Richard Heenan	
23/09/1987		644	651	Unilever	Ed Staples	Jeff Penfold (ISIS)	Richard Heenan	
04/02/1988		1063	1087	Unilever	Ed Staples	Jeff Penfold (ISIS)	Richard Heenan	
20/06/1988		1274	1316	ICI	"Andrew Burgess, Halina Stanley"		Richard Heenan	
06/08/1988		1523	1565	ICI	"Andrew Burgess, Halina Stanley, JER"		Richard Heenan	
13/09/1988		1851	1884	ICI	"Andrew Burgess, Halina Stanley, Adrian Barnes"		Richard Heenan	
09/05/1989		2768	2789	ICI	"Andrew Burgess, Martyn Stacey"		Richard Heenan	
10/05/1989		2790	2843	ICI	"Andrew Burgess, T Price, D Green"		Richard Heenan	
23/07/1989		3128	3138	BP	"Mary Vickers, Tim O'Sullivan"		Richard Heenan	
31/07/1989		3239	3283	ICI	Andrew Burgess		Richard Heenan	
07/09/1989		3492	3508	BP	Mary Vickers		Richard Heenan	
07/11/1989		4095	4110	BP	Mary Vickers		Richard Heenan	
27/11/1989		4189	4222	ICI	"Andrew Burgess, Dave Morrison, Archie Eaglesham, ? McShea"		"Richard Heenan, Steve King"	
23/04/1990		4744	4832	ICI	"Andrew Burgess, Dave Morrison, Archie Eaglesham"		"Richard Heenan, Steve King"	
07/06/1990		5280	5321	BP	"Mary Vickers, ? Jefferies"		"Richard Heenan, Steve King"	
20/08/1990		6155	6239	ICI	"Andrew Burgess, Dave Morrison, Archie Eaglesham"		"Richard Heenan, Steve King"	
21/09/1990		6659	6749	ICI	"Andrew Burgess, Dave Morrison, Archie Eaglesham, D Reid"		"Richard Heenan, Steve King"	
07/11/1990		7406	7447	BP	"Mary Vickers, John Clint"		"Richard Heenan, Steve King"	
26/11/1990		7667	7732	ICI	"Andrew Burgess, Dave Morrison, Archie Eaglesham"		"Richard Heenan, Steve King"	
23/04/1991		8232	8267	ICI	"Andrew Burgess, Dave Morrison, Archie Eaglesham"		"Richard Heenan, Steve King"	
